154014,2589,73,263,41,5,10,58,53,6,54,142,79,63,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,1948581,685,1397,170,5,68,46,139,94,54,746,21088,117,223,0,5800,15,5,12,0,142,0,5,10,11,11,18,9,5,10,10,0,0,0,0,0,0,0,38,0,5,0,0,0,0,6,0,0,0,0,0,
0,143,2954387,9076,1345,0,563,245,220,305,23,9496,163,1107,1183,0,59,5,8,40,0,119,0,522,0,21,0,79,0,16,141,15,0,0,0,0,10,0,46,76,0,10,120,1212,0,0,0,0,0,0,0,0,
0,1228,8886,12462793,999,184,762,502,590,820,44,12959,2180,2111,1110,0,54,5,180,148,11,1433,40,23,11,128,0,567,5,145,199,117,7,10,16,5,104,0,68,389,36,16,12,515,20,0,5,0,5,15,18,0,
0,236,3554,2598,2050592,49,1915,533,161,742,241,1412,147,2342,682,7,11,45,30,73,0,274,262,10,0,49,0,138,20,55,107,48,0,7,259,14,61,5,189,122,0,0,390,846,0,0,0,0,0,0,13,0,
0,5,10,69,18,159570,237,206,0,87,0,0,0,38,10,0,0,17,536,5,0,1741,0,0,0,760,0,11361,0,20177,66,0,10,0,0,0,0,10,45,242,0,0,0,0,0,0,0,0,0,0,10,0,
0,142,652,2380,3915,845,15162223,26516,72,1752,369,1468,5,4408,1110,13359,21,782,789,188,573,5177,0,57,57,1649,6,2009,53,925,2706,33,15,102,0,432,1154,78,1299,1876,79,0,10,0,54,50,5,0,0,10,0,156,
0,86,186,935,787,90,31321,7645207,0,387,134,506,5,1297,407,11193,35,382,149,94,150,1949,31,5,5,144,5,636,0,226,2389,61,0,95,12,6719,40173,137,244,305,86,62,11,14,10,10,0,0,0,5,23,0,
0,272,162,2306,33,0,26,16,662590,102,20,680,27,115,24,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,85,3052,1953,1618,886,11623,959,305,5028362,1152,623,5,1713,229,496,0,210,245,30791,36,1116,5,44,30,183,0,387,10211,170,430,31,0,19877,657,228,959,7764,1109,222,227,19341,54,15,0,5,10,0,0,0,0,0,
0,149,2519,1230,876,20,6071,1403,335,1931,1926600,883,5,525,166,21,0,45,84,207,0,176,0,0,23,25,0,47,5618,36,126,5,0,20,41,0,99,50,393,77,0,718,362,11,0,0,3288,0,17794,0,0,0,
0,200,2400,6781,225,0,270,193,104,124,31,1286372,12,667,985,0,75,14,18,20,0,282,23,0,0,16,0,34,0,33,62,5,0,5,0,0,15,0,89,41,0,10,0,991,0,0,0,0,0,0,0,0,
126,6384,500,2710,141,5,85,80,219,11,23,319,1164112,64,267,77,525,15,5,5,22,544,37,0,0,0,0,0,88,0,6,13,0,0,0,0,0,0,0,12,0,5,5,0,0,0,44,0,0,0,0,0,
0,836,4705,9131,8646,426,17094,4121,979,3156,104,7104,88,20068231,1075,1263,25,13400,328,1419,397,3209,0,5441,66,435,0,1279,11,543,1070,20522,0,529,351,141,686,175,247,1240,93,32,40,8624,5,49,11,5,7,6,0,0,
0,210,847,2227,719,0,230,351,162,102,31,3878,110,279,1103820,0,559,0,5,83,0,159,430,6,20,33,7,0,0,0,0,12,0,0,16,20,10,5,33,10,11,127,216,139,0,0,6,0,0,0,0,0,
0,15,84,150,740,173,24619,54880,0,443,63,151,31,1133,151,4304271,7,892,24,207,15321,775,0,5,30,33,0,314,0,54,437,0,5,63,5,122,12387,108,144,72,15,20,5,0,0,0,0,0,0,0,0,0,
0,9283,553,1309,411,0,106,39,49,40,60,1036,4760,135,7671,0,628297,0,0,30,29,52,545,6,152,0,0,0,0,0,0,9,0,0,7,0,0,0,20,6,0,8,10,5,0,0,0,0,0,0,0,0,
0,8,28,330,851,87,6936,1552,0,80,0,160,0,13768,211,553,0,3220367,5,70,8886,211,35,1140,10,17,0,174,437,90,169,166,0,0,0,5,243,6,37,74,0,194,0,81,0,0,0,0,0,0,0,0,
